id,name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,secondary_type,num_abilities,abilities,power_score,strong
277,swellow,7,198,159,60,85,60,75,50,125,normal,flying,2,"guts, scrappy",455,0
278,wingull,6,95,54,40,30,30,55,30,85,water,flying,3,"keen-eye, hydration, rain-dish",270,0
279,pelipper,12,280,154,60,50,100,95,70,65,water,flying,3,"keen-eye, drizzle, rain-dish",440,0
280,ralts,4,66,40,28,25,25,45,35,40,psychic,fairy,3,"synchronize, trace, telepathy",198,0
281,kirlia,8,202,97,38,35,35,65,55,50,psychic,fairy,3,"synchronize, trace, telepathy",278,0
282,gardevoir,16,484,233,68,65,65,125,115,80,psychic,fairy,3,"synchronize, trace, telepathy",518,1
283,surskit,5,17,54,40,30,32,50,52,65,bug,water,2,"swift-swim, rain-dish",269,0
284,masquerain,8,36,159,70,60,62,100,82,80,bug,flying,2,"intimidate, unnerve",454,0
285,shroomish,4,45,59,60,40,60,40,60,35,grass,,3,"effect-spore, poison-heal, quick-feet",295,0
286,breloom,12,392,161,60,130,80,60,60,70,grass,fighting,3,"effect-spore, poison-heal, technician",460,0
287,slakoth,8,240,56,60,60,60,35,35,30,normal,,1,truant,280,0
288,vigoroth,14,465,154,80,80,80,55,55,90,normal,,1,vital-spirit,440,0
289,slaking,20,1305,252,150,160,100,95,65,100,normal,,1,truant,670,1
290,nincada,5,55,53,31,45,90,30,30,40,bug,ground,2,"compound-eyes, run-away",266,0
291,ninjask,8,120,160,61,90,45,50,50,160,bug,flying,2,"speed-boost, infiltrator",456,0
292,shedinja,8,12,83,1,90,45,30,30,40,bug,ghost,1,wonder-guard,236,0
293,whismur,6,163,48,64,51,23,51,23,28,normal,,2,"soundproof, rattled",240,0
294,loudred,10,405,126,84,71,43,71,43,48,normal,,2,"soundproof, scrappy",360,0
295,exploud,15,840,221,104,91,63,91,73,68,normal,,2,"soundproof, scrappy",490,0
296,makuhita,10,864,47,72,60,30,20,30,25,fighting,,3,"thick-fat, guts, sheer-force",237,0
297,hariyama,23,2538,166,144,120,60,40,60,50,fighting,,3,"thick-fat, guts, sheer-force",474,0
298,azurill,2,20,38,50,20,40,20,40,20,normal,fairy,3,"thick-fat, huge-power, sap-sipper",190,0
299,nosepass,10,970,75,30,45,135,45,90,30,rock,,3,"sturdy, magnet-pull, sand-force",375,0
300,skitty,6,110,52,50,45,45,35,35,50,normal,,3,"cute-charm, normalize, wonder-skin",260,0
301,delcatty,11,326,140,70,65,65,55,55,90,normal,,3,"cute-charm, normalize, wonder-skin",400,0
302,sableye,5,110,133,50,75,75,65,65,50,dark,ghost,3,"keen-eye, stall, prankster",380,0
303,mawile,6,115,133,50,85,85,55,55,50,steel,fairy,3,"hyper-cutter, intimidate, sheer-force",380,0
304,aron,4,600,66,50,70,100,40,40,30,steel,rock,3,"sturdy, rock-head, heavy-metal",330,0
305,lairon,9,1200,151,60,90,140,50,50,40,steel,rock,3,"sturdy, rock-head, heavy-metal",430,0
306,aggron,21,3600,239,70,110,180,60,60,50,steel,rock,3,"sturdy, rock-head, heavy-metal",530,1
307,meditite,6,112,56,30,40,55,40,55,60,fighting,psychic,2,"pure-power, telepathy",280,0
308,medicham,13,315,144,60,60,75,60,75,80,fighting,psychic,2,"pure-power, telepathy",410,0
309,electrike,6,152,59,40,45,40,65,40,65,electric,,3,"static, lightning-rod, minus",295,0
310,manectric,15,402,166,70,75,60,105,60,105,electric,,3,"static, lightning-rod, minus",475,0
311,plusle,4,42,142,60,50,40,85,75,95,electric,,2,"plus, lightning-rod",405,0
312,minun,4,42,142,60,40,50,75,85,95,electric,,2,"minus, volt-absorb",405,0
313,volbeat,7,177,151,65,73,75,47,85,85,bug,,3,"illuminate, swarm, prankster",430,0
314,illumise,6,177,151,65,47,75,73,85,85,bug,,3,"oblivious, tinted-lens, prankster",430,0
315,roselia,3,20,140,50,60,45,100,80,65,grass,poison,3,"natural-cure, poison-point, leaf-guard",400,0
316,gulpin,4,103,60,70,43,53,43,53,40,poison,,3,"liquid-ooze, sticky-hold, gluttony",302,0
317,swalot,17,800,163,100,73,83,73,83,55,poison,,3,"liquid-ooze, sticky-hold, gluttony",467,0
318,carvanha,8,208,61,45,90,20,65,20,65,water,dark,2,"rough-skin, speed-boost",305,0
319,sharpedo,18,888,161,70,120,40,95,40,95,water,dark,2,"rough-skin, speed-boost",460,0
320,wailmer,20,1300,80,130,70,35,70,35,60,water,,3,"water-veil, oblivious, pressure",400,0
321,wailord,145,3980,175,170,90,45,90,45,60,water,,3,"water-veil, oblivious, pressure",500,1
322,numel,7,240,61,60,60,40,65,45,35,fire,ground,3,"oblivious, simple, own-tempo",305,0
323,camerupt,19,2200,161,70,100,70,105,75,40,fire,ground,3,"magma-armor, solid-rock, anger-point",460,0
324,torkoal,5,804,165,70,85,140,85,70,20,fire,,3,"white-smoke, drought, shell-armor",470,0
325,spoink,7,306,66,60,25,35,70,80,60,psychic,,3,"thick-fat, own-tempo, gluttony",330,0
326,grumpig,9,715,165,80,45,65,90,110,80,psychic,,3,"thick-fat, own-tempo, gluttony",470,0
327,spinda,11,50,126,60,60,60,60,60,60,normal,,3,"own-tempo, tangled-feet, contrary",360,0
328,trapinch,7,150,58,45,100,45,45,45,10,ground,,3,"hyper-cutter, arena-trap, sheer-force",290,0
329,vibrava,11,153,119,50,70,50,50,50,70,ground,dragon,1,levitate,340,0
330,flygon,20,820,234,80,100,80,80,80,100,ground,dragon,1,levitate,520,1
331,cacnea,4,513,67,50,85,40,85,40,35,grass,,2,"sand-veil, water-absorb",335,0
332,cacturne,13,774,166,70,115,60,115,60,55,grass,dark,2,"sand-veil, water-absorb",475,0
333,swablu,4,12,62,45,40,60,40,75,50,normal,flying,2,"natural-cure, cloud-nine",310,0
334,altaria,11,206,172,75,70,90,70,105,80,dragon,flying,2,"natural-cure, cloud-nine",490,0
335,zangoose,13,403,160,73,115,60,60,60,90,normal,,2,"immunity, toxic-boost",458,0
336,seviper,27,525,160,73,100,60,100,60,65,poison,,2,"shed-skin, infiltrator",458,0
337,lunatone,10,1680,161,90,55,65,95,85,70,rock,psychic,1,levitate,460,0
338,solrock,12,1540,161,90,95,85,55,65,70,rock,psychic,1,levitate,460,0
339,barboach,4,19,58,50,48,43,46,41,60,water,ground,3,"oblivious, anticipation, hydration",288,0
340,whiscash,9,236,164,110,78,73,76,71,60,water,ground,3,"oblivious, anticipation, hydration",468,0
341,corphish,6,115,62,43,80,65,50,35,35,water,,3,"hyper-cutter, shell-armor, adaptability",308,0
342,crawdaunt,11,328,164,63,120,85,90,55,55,water,dark,3,"hyper-cutter, shell-armor, adaptability",468,0
343,baltoy,5,215,60,40,40,55,40,70,55,ground,psychic,1,levitate,300,0
344,claydol,15,1080,175,60,70,105,70,120,75,ground,psychic,1,levitate,500,1
345,lileep,10,238,71,66,41,77,61,87,23,rock,grass,2,"suction-cups, storm-drain",355,0
346,cradily,15,604,173,86,81,97,81,107,43,rock,grass,2,"suction-cups, storm-drain",495,0
347,anorith,7,125,71,45,95,50,40,50,75,rock,bug,2,"battle-armor, swift-swim",355,0
348,armaldo,15,682,173,75,125,100,70,80,45,rock,bug,2,"battle-armor, swift-swim",495,0
349,feebas,6,74,40,20,15,20,10,55,80,water,,3,"swift-swim, oblivious, adaptability",200,0
350,milotic,62,1620,189,95,60,79,100,125,81,water,,3,"marvel-scale, competitive, cute-charm",540,1
351,castform,3,8,147,70,70,70,70,70,70,normal,,1,forecast,420,0
352,kecleon,10,220,154,60,90,70,60,120,40,normal,,2,"color-change, protean",440,0
353,shuppet,6,23,59,44,75,35,63,33,45,ghost,,3,"insomnia, frisk, cursed-body",295,0
354,banette,11,125,159,64,115,65,83,63,65,ghost,,3,"insomnia, frisk, cursed-body",455,0
355,duskull,8,150,59,20,40,90,30,90,25,ghost,,2,"levitate, frisk",295,0
356,dusclops,16,306,159,40,70,130,60,130,25,ghost,,2,"pressure, frisk",455,0
357,tropius,20,1000,161,99,68,83,72,87,51,grass,flying,3,"chlorophyll, solar-power, harvest",460,0
358,chimecho,6,10,159,75,50,80,95,90,65,psychic,,1,levitate,455,0
359,absol,12,470,163,65,130,60,75,60,75,dark,,3,"pressure, super-luck, justified",465,0
360,wynaut,6,140,52,95,23,48,23,48,23,psychic,,2,"shadow-tag, telepathy",260,0
361,snorunt,7,168,60,50,50,50,50,50,50,ice,,3,"inner-focus, ice-body, moody",300,0
362,glalie,15,2565,168,80,80,80,80,80,80,ice,,3,"inner-focus, ice-body, moody",480,0
363,spheal,8,395,58,70,40,50,55,50,25,ice,water,3,"thick-fat, ice-body, oblivious",290,0
364,sealeo,11,876,144,90,60,70,75,70,45,ice,water,3,"thick-fat, ice-body, oblivious",410,0
365,walrein,14,1506,239,110,80,90,95,90,65,ice,water,3,"thick-fat, ice-body, oblivious",530,1
366,clamperl,4,525,69,35,64,85,74,55,32,water,,2,"shell-armor, rattled",345,0
367,huntail,17,270,170,55,104,105,94,75,52,water,,2,"swift-swim, water-veil",485,0
368,gorebyss,18,226,170,55,84,105,114,75,52,water,,2,"swift-swim, hydration",485,0
369,relicanth,10,234,170,100,90,130,45,65,55,water,rock,3,"swift-swim, rock-head, sturdy",485,0
370,luvdisc,6,87,116,43,30,55,40,65,97,water,,2,"swift-swim, hydration",330,0
371,bagon,6,421,60,45,75,60,40,30,50,dragon,,2,"rock-head, sheer-force",300,0
372,shelgon,11,1105,147,65,95,100,60,50,50,dragon,,2,"rock-head, overcoat",420,0
373,salamence,15,1026,270,95,135,80,110,80,100,dragon,flying,2,"intimidate, moxie",600,1
374,beldum,6,952,60,40,55,80,35,60,30,steel,psychic,2,"clear-body, light-metal",300,0
375,metang,12,2025,147,60,75,100,55,80,50,steel,psychic,2,"clear-body, light-metal",420,0
376,metagross,16,5500,270,80,135,130,95,90,70,steel,psychic,2,"clear-body, light-metal",600,1
377,regirock,17,2300,261,80,100,200,50,100,50,rock,,2,"clear-body, sturdy",580,1
378,regice,18,1750,261,80,50,100,100,200,50,ice,,2,"clear-body, ice-body",580,1
379,registeel,19,2050,261,80,75,150,75,150,50,steel,,2,"clear-body, light-metal",580,1
380,latias,14,400,270,80,80,90,110,130,110,dragon,psychic,1,levitate,600,1
381,latios,20,600,270,80,90,80,130,110,110,dragon,psychic,1,levitate,600,1
382,kyogre,45,3520,302,100,100,90,150,140,90,water,,1,drizzle,670,1
383,groudon,35,9500,302,100,150,140,100,90,90,ground,,1,drought,670,1
384,rayquaza,70,2065,306,105,150,90,150,90,95,dragon,flying,1,air-lock,680,1
385,jirachi,3,11,270,100,100,100,100,100,100,steel,psychic,1,serene-grace,600,1
386,deoxys-normal,17,608,270,50,150,50,150,50,150,psychic,,1,pressure,600,1
387,turtwig,4,102,64,55,68,64,45,55,31,grass,,2,"overgrow, shell-armor",318,0
388,grotle,11,970,142,75,89,85,55,65,36,grass,,2,"overgrow, shell-armor",405,0
389,torterra,22,3100,236,95,109,105,75,85,56,grass,ground,2,"overgrow, shell-armor",525,1
390,chimchar,5,62,62,44,58,44,58,44,61,fire,,2,"blaze, iron-fist",309,0
391,monferno,9,220,142,64,78,52,78,52,81,fire,fighting,2,"blaze, iron-fist",405,0
392,infernape,12,550,240,76,104,71,104,71,108,fire,fighting,2,"blaze, iron-fist",534,1
393,piplup,4,52,63,53,51,53,61,56,40,water,,2,"torrent, competitive",314,0
394,prinplup,8,230,142,64,66,68,81,76,50,water,,2,"torrent, competitive",405,0
395,empoleon,17,845,239,84,86,88,111,101,60,water,steel,2,"torrent, competitive",530,1
396,starly,3,20,49,40,55,30,30,30,60,normal,flying,2,"keen-eye, reckless",245,0
397,staravia,6,155,119,55,75,50,40,40,80,normal,flying,2,"intimidate, reckless",340,0
398,staraptor,12,249,218,85,120,70,50,60,100,normal,flying,2,"intimidate, reckless",485,0
399,bidoof,5,200,50,59,45,40,35,40,31,normal,,3,"simple, unaware, moody",250,0
400,bibarel,10,315,144,79,85,60,55,60,71,normal,water,3,"simple, unaware, moody",410,0
401,kricketot,3,22,39,37,25,41,25,41,25,bug,,2,"shed-skin, run-away",194,0
402,kricketune,10,255,134,77,85,51,55,51,65,bug,,2,"swarm, technician",384,0
403,shinx,5,95,53,45,65,34,40,34,45,electric,,3,"rivalry, intimidate, guts",263,0
404,luxio,9,305,127,60,85,49,60,49,60,electric,,3,"rivalry, intimidate, guts",363,0
405,luxray,14,420,235,80,120,79,95,79,70,electric,,3,"rivalry, intimidate, guts",523,1
406,budew,2,12,56,40,30,35,50,70,55,grass,poison,3,"natural-cure, poison-point, leaf-guard",280,0
407,roserade,9,145,232,60,70,65,125,105,90,grass,poison,3,"natural-cure, poison-point, technician",515,1
408,cranidos,9,315,70,67,125,40,30,30,58,rock,,2,"mold-breaker, sheer-force",350,0
409,rampardos,16,1025,173,97,165,60,65,50,58,rock,,2,"mold-breaker, sheer-force",495,0
410,shieldon,5,570,70,30,42,118,42,88,30,rock,steel,2,"sturdy, soundproof",350,0
411,bastiodon,13,1495,173,60,52,168,47,138,30,rock,steel,2,"sturdy, soundproof",495,0
412,burmy,2,34,45,40,29,45,29,45,36,bug,,2,"shed-skin, overcoat",224,0
413,wormadam-plant,5,65,148,60,59,85,79,105,36,bug,grass,2,"anticipation, overcoat",424,0
414,mothim,9,233,148,70,94,50,94,50,66,bug,flying,2,"swarm, tinted-lens",424,0
415,combee,3,55,49,30,30,42,30,42,70,bug,flying,2,"honey-gather, hustle",244,0
416,vespiquen,12,385,166,70,80,102,80,102,40,bug,flying,2,"pressure, unnerve",474,0
417,pachirisu,4,39,142,60,45,70,45,90,95,electric,,3,"run-away, pickup, volt-absorb",405,0
418,buizel,7,295,66,55,65,35,60,30,85,water,,2,"swift-swim, water-veil",330,0
419,floatzel,11,335,173,85,105,55,85,50,115,water,,2,"swift-swim, water-veil",495,0
420,cherubi,4,33,55,45,35,45,62,53,35,grass,,1,chlorophyll,275,0
421,cherrim,5,93,158,70,60,70,87,78,85,grass,,1,flower-gift,450,0
422,shellos,3,63,65,76,48,48,57,62,34,water,,3,"sticky-hold, storm-drain, sand-force",325,0
423,gastrodon,9,299,166,111,83,68,92,82,39,water,ground,3,"sticky-hold, storm-drain, sand-force",475,0
424,ambipom,12,203,169,75,100,66,60,66,115,normal,,3,"technician, pickup, skill-link",482,0
425,drifloon,4,12,70,90,50,34,60,44,70,ghost,flying,3,"aftermath, unburden, flare-boost",348,0
426,drifblim,12,150,174,150,80,44,90,54,80,ghost,flying,3,"aftermath, unburden, flare-boost",498,0
427,buneary,4,55,70,55,66,44,44,56,85,normal,,3,"run-away, klutz, limber",350,0
428,lopunny,12,333,168,65,76,84,54,96,105,normal,,3,"cute-charm, klutz, limber",480,0
429,mismagius,9,44,173,60,60,60,105,105,105,ghost,,1,levitate,495,0
430,honchkrow,9,273,177,100,125,52,105,52,71,dark,flying,3,"insomnia, super-luck, moxie",505,1
431,glameow,5,39,62,49,55,42,42,37,85,normal,,3,"limber, own-tempo, keen-eye",310,0
432,purugly,10,438,158,71,82,64,64,59,112,normal,,3,"thick-fat, own-tempo, defiant",452,0
433,chingling,2,6,57,45,30,50,65,50,45,psychic,,1,levitate,285,0
434,stunky,4,192,66,63,63,47,41,41,74,poison,dark,3,"stench, aftermath, keen-eye",329,0
435,skuntank,10,380,168,103,93,67,71,61,84,poison,dark,3,"stench, aftermath, keen-eye",479,0
436,bronzor,5,605,60,57,24,86,24,86,23,steel,psychic,3,"levitate, heatproof, heavy-metal",300,0
437,bronzong,13,1870,175,67,89,116,79,116,33,steel,psychic,3,"levitate, heatproof, heavy-metal",500,1
438,bonsly,5,150,58,50,80,95,10,45,10,rock,,3,"sturdy, rock-head, rattled",290,0
439,mime-jr,6,130,62,20,25,45,70,90,60,psychic,fairy,3,"soundproof, filter, technician",310,0
440,happiny,6,244,110,100,5,5,15,65,30,normal,,3,"natural-cure, serene-grace, friend-guard",220,0
441,chatot,5,19,144,76,65,45,92,42,91,normal,flying,3,"keen-eye, tangled-feet, big-pecks",411,0
442,spiritomb,10,1080,170,50,92,108,92,108,35,ghost,dark,2,"pressure, infiltrator",485,0
443,gible,7,205,60,58,70,45,40,45,42,dragon,ground,2,"sand-veil, rough-skin",300,0
444,gabite,14,560,144,68,90,65,50,55,82,dragon,ground,2,"sand-veil, rough-skin",410,0
445,garchomp,19,950,270,108,130,95,80,85,102,dragon,ground,2,"sand-veil, rough-skin",600,1
446,munchlax,6,1050,78,135,85,40,40,85,5,normal,,3,"pickup, thick-fat, gluttony",390,0
447,riolu,7,202,57,40,70,40,35,40,60,fighting,,3,"steadfast, inner-focus, prankster",285,0
448,lucario,12,540,184,70,110,70,115,70,90,fighting,steel,3,"steadfast, inner-focus, justified",525,1
449,hippopotas,8,495,66,68,72,78,38,42,32,ground,,2,"sand-stream, sand-force",330,0
450,hippowdon,20,3000,184,108,112,118,68,72,47,ground,,2,"sand-stream, sand-force",525,1
451,skorupi,8,120,66,40,50,90,30,55,65,poison,bug,3,"battle-armor, sniper, keen-eye",330,0
452,drapion,13,615,175,70,90,110,60,75,95,poison,dark,3,"battle-armor, sniper, keen-eye",500,1
453,croagunk,7,230,60,48,61,40,61,40,50,poison,fighting,3,"anticipation, dry-skin, poison-touch",300,0
454,toxicroak,13,444,172,83,106,65,86,65,85,poison,fighting,3,"anticipation, dry-skin, poison-touch",490,0
455,carnivine,14,270,159,74,100,72,90,72,46,grass,,1,levitate,454,0
456,finneon,4,70,66,49,49,56,49,61,66,water,,3,"swift-swim, storm-drain, water-veil",330,0
457,lumineon,12,240,161,69,69,76,69,86,91,water,,3,"swift-swim, storm-drain, water-veil",460,0
458,mantyke,10,650,69,45,20,50,60,120,50,water,flying,3,"swift-swim, water-absorb, water-veil",345,0
459,snover,10,505,67,60,62,50,62,60,40,grass,ice,2,"snow-warning, soundproof",334,0
460,abomasnow,22,1355,173,90,92,75,92,85,60,grass,ice,2,"snow-warning, soundproof",494,0
461,weavile,11,340,179,70,120,65,45,85,125,dark,ice,2,"pressure, pickpocket",510,1
462,magnezone,12,1800,241,70,70,115,130,90,60,electric,steel,3,"magnet-pull, sturdy, analytic",535,1
463,lickilicky,17,1400,180,110,85,95,80,95,50,normal,,3,"own-tempo, oblivious, cloud-nine",515,1
464,rhyperior,24,2828,241,115,140,130,55,55,40,ground,rock,3,"lightning-rod, solid-rock, reckless",535,1
465,tangrowth,20,1286,187,100,100,125,110,50,50,grass,,3,"chlorophyll, leaf-guard, regenerator",535,1
466,electivire,18,1386,243,75,123,67,95,85,95,electric,,2,"motor-drive, vital-spirit",540,1
467,magmortar,16,680,243,75,95,67,125,95,83,fire,,2,"flame-body, vital-spirit",540,1
468,togekiss,15,380,245,85,50,95,120,115,80,fairy,flying,3,"hustle, serene-grace, super-luck",545,1
469,yanmega,19,515,180,86,76,86,116,56,95,bug,flying,3,"speed-boost, tinted-lens, frisk",515,1
470,leafeon,10,255,184,65,110,130,60,65,95,grass,,2,"leaf-guard, chlorophyll",525,1
471,glaceon,8,259,184,65,60,110,130,95,65,ice,,2,"snow-cloak, ice-body",525,1
472,gliscor,20,425,179,75,95,125,45,75,95,ground,flying,3,"hyper-cutter, sand-veil, poison-heal",510,1
473,mamoswine,25,2910,239,110,130,80,70,60,80,ice,ground,3,"oblivious, snow-cloak, thick-fat",530,1
474,porygon-z,9,340,241,85,80,70,135,75,90,normal,,3,"adaptability, download, analytic",535,1
475,gallade,16,520,233,68,125,65,65,115,80,psychic,fighting,3,"steadfast, sharpness, justified",518,1
476,probopass,14,3400,184,60,55,145,75,150,40,rock,steel,3,"sturdy, magnet-pull, sand-force",525,1
477,dusknoir,22,1066,236,45,100,135,65,135,45,ghost,,2,"pressure, frisk",525,1
478,froslass,13,266,168,70,80,70,80,70,110,ice,ghost,2,"snow-cloak, cursed-body",480,0
479,rotom,3,3,154,50,50,77,95,77,91,electric,ghost,1,levitate,440,0
480,uxie,3,3,261,75,75,130,75,130,95,psychic,,1,levitate,580,1
481,mesprit,3,3,261,80,105,105,105,105,80,psychic,,1,levitate,580,1
482,azelf,3,3,261,75,125,70,125,70,115,psychic,,1,levitate,580,1
483,dialga,54,6830,306,100,120,120,150,100,90,steel,dragon,2,"pressure, telepathy",680,1
484,palkia,42,3360,306,90,120,100,150,120,100,water,dragon,2,"pressure, telepathy",680,1
485,heatran,17,4300,270,91,90,106,130,106,77,fire,steel,2,"flash-fire, flame-body",600,1
486,regigigas,37,4200,302,110,160,110,80,110,100,normal,,1,slow-start,670,1
487,giratina-altered,45,7500,306,150,100,120,100,120,90,ghost,dragon,2,"pressure, telepathy",680,1
488,cresselia,15,856,270,120,70,110,75,120,85,psychic,,1,levitate,580,1
489,phione,4,31,216,80,80,80,80,80,80,water,,1,hydration,480,0
490,manaphy,3,14,270,100,100,100,100,100,100,water,,1,hydration,600,1
491,darkrai,15,505,270,70,90,90,135,90,125,dark,,1,bad-dreams,600,1
492,shaymin-land,2,21,270,100,100,100,100,100,100,grass,,1,natural-cure,600,1
493,arceus,32,3200,324,120,120,120,120,120,120,normal,,1,multitype,720,1
494,victini,4,40,270,100,100,100,100,100,100,psychic,fire,1,victory-star,600,1
495,snivy,6,81,62,45,45,55,45,55,63,grass,,2,"overgrow, contrary",308,0
496,servine,8,160,145,60,60,75,60,75,83,grass,,2,"overgrow, contrary",413,0
497,serperior,33,630,238,75,75,95,75,95,113,grass,,2,"overgrow, contrary",528,1
498,tepig,5,99,62,65,63,45,45,45,45,fire,,2,"blaze, thick-fat",308,0
499,pignite,10,555,146,90,93,55,70,55,55,fire,fighting,2,"blaze, thick-fat",418,0
500,emboar,16,1500,238,110,123,65,100,65,65,fire,fighting,2,"blaze, reckless",528,1
